datetime,Open,High,Low,Close,Volume
2019-09-08 17:57:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 17:58:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 17:59:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:00:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:01:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:02:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:03:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:04:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:05:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:06:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:07:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:08:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:09:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:10:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:11:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:12:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:13:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:14:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:15:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:16:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:17:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:18:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:19:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:20:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:21:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:22:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:23:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:24:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:25:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:26:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:27:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:28:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:29:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:30:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:31:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:32:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:33:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:34:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:35:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:36:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:37:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:38:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:39:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:40:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:41:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:42:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
2019-09-08 18:43:00,10000.00000,10000.00000,10000.00000,10000.00000,0.00000
